id,location_big,location,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
8929,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,1,998000,4,227,308,2020,bloc de apartamente,S+P+12E,10,12,1,3,,,2
8930,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,95000,2,54,71,2020,bloc de apartamente,S+P+11E,2,11,1,1,,,1
9001,"Bucuresti, zona Colentina",Colentina,agency,apartament,decomandat,1,252000,6,164,247,2019,bloc de apartamente,P+17E,15,17,1,3,1,1,
9002,"Bucuresti, zona Ghencea",Ghencea,agency,apartament,semidecomandat,1,54000,3,79,100,2008,bloc de apartamente,P+3E,3,3,1,2,,1,1
9003,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,63500,2,64,76,2013,bloc de apartamente,P+4E,1,4,,1,,,1
9004,"Bucuresti, zona Compozitorilor",Compozitorilor,agency,apartament,decomandat,1,65000,2,51,51,1969,bloc de apartamente,P+8E,3,8,,1,,,
9005,"Bucuresti, zona Dorobanti",Dorobanti,agency,apartament,decomandat,1,287000,5,160,200,1997,bloc de apartamente,P+6E,4,6,1,2,,,3
9006,"Bucuresti, Sector 2, zona Pantelimon",Pantelimon,agency,apartament,decomandat,lux,74190,3,88,104,2020,bloc de apartamente,D+P+7E,1,7,1,2,,,1
9007,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,lux,79832,2,65,81,2020,bloc de apartamente,P+5E,5,5,1,1,,1,
9008,"Bucuresti, Sector 1, zona P-ta Victoriei",P-ta Victoriei,agency,apartament,decomandat,1,245000,4,121,160,1955,bloc de apartamente,P+4E,3,4,1,2,,,
9009,"Bucuresti, Sector 6, zona Timisoara",Timisoara,agency,apartament,decomandat,1,56500,2,56,67,2020,bloc de apartamente,D+P+6E,4,6,1,1,,,
9010,"Bucuresti, Sector 5, zona Rahova",Rahova,agency,apartament,semidecomandat,2,43500,2,40,46,1970,bloc de apartamente,P+6E,3,6,1,1,,,1
9011,"Bucuresti, zona Sisesti",Sisesti,agency,apartament,decomandat,lux,89800,2,55,72,2020,bloc de apartamente,P+10E,10,10,1,1,2,,1
9012,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,95000,2,54,66,2020,bloc de apartamente,S+P+11E,2,11,1,1,,,1
9013,"Bucuresti, Sector 3, zona Nerva Traian",Nerva Traian,agency,apartament,decomandat,1,55000,1,38,46,1998,bloc de apartamente,P+8E,Parter,8,1,1,,1,
9014,"Bucuresti, zona Bucurestii Noi",Bucurestii Noi,agency,apartament,semidecomandat,1,92000,3,64,75,2013,bloc de apartamente,P+3E,Parter,3,,1,,,1
9015,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,semidecomandat,1,92985,3,71,93,2018,bloc de apartamente,P+5E,5,5,1,2,,1,1
9016,"Bucuresti, zona Damaroaia",Damaroaia,prepay,apartament,semidecomandat,lux,105000,3,67,,2020,bloc de apartamente,P+2E,2,2,,2,,,
9017,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,158000,3,77,85,2020,bloc de apartamente,P+5E,1,5,1,2,,,1
9018,"Bucuresti, Sector 3, zona P-ta Muncii",P-ta Muncii,agency,apartament,decomandat,1,95000,3,64,,1984,bloc de apartamente,P+3E,3,3,1,1,,1,2
9019,"Bucuresti, Sector 3, zona Mihai Bravu",Mihai Bravu,agency,apartament,decomandat,lux,118000,2,58,66,2021,bloc de apartamente,P+11E,3,11,1,1,,,1
9020,"Bucuresti, Sector 6, zona Timisoara",Timisoara,agency,apartament,decomandat,lux,89999,3,86,106,2020,bloc de apartamente,D+P+6E,Parter,6,1,2,,,2
9021,"Bucuresti, Sector 3, zona Vitan",Vitan,agency,apartament,semidecomandat,,37000,1,32,42,1980,bloc de apartamente,P+10E,4,10,1,1,,,1
9022,"Bucuresti, zona Obor",Obor,agency,apartament,decomandat,1,148000,5,92,109,1984,bloc de apartamente,P+10E,7,10,1,2,,1,2
9023,"Bucuresti, Sector 2, zona Mosilor",Mosilor,agency,apartament,decomandat,lux,92000,2,55,72,2020,bloc de apartamente,S+P+5E,Parter,5,1,1,,,1
9024,"Bucuresti, Sector 2, zona Barbu Vacarescu",Barbu Vacarescu,agency,apartament,semidecomandat,lux,155000,2,71,100,2011,bloc de apartamente,S+P+16E,11,16,1,2,,,1
9025,"Bucuresti, zona Tineretului",Tineretului,agency,apartament,decomandat,1,187000,3,103,127,2010,bloc de apartamente,P+21E,12,21,,2,,,1
9026,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,65000,2,49,5,2021,bloc de apartamente,S+P+9E,4,9,1,1,,,1
9027,"Bucuresti, Sector 1, zona Floreasca",Floreasca,agency,apartament,decomandat,1,315000,3,96,132,2010,bloc de apartamente,S+P+5E,2,5,1,2,,1,2
9028,"Bucuresti, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,1,41700,1,41,65,2020,bloc de apartamente,D+P+6E,1,6,,1,,1,1
9029,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,1,57200,1,36,53,2020,bloc de apartamente,P+4E,1,4,1,1,,,1
9030,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,47900,3,64,72,2020,bloc de apartamente,P+7E,7,7,1,2,,1,2
9101,"Bucuresti, Sector 2, zona Fundeni",Fundeni,agency,apartament,decomandat,lux,39335,1,42,51,2021,bloc de apartamente,D+P+7E,1,7,1,1,,,1
9102,"Bucuresti, zona 13 Septembrie",13 Septembrie,agency,apartament,decomandat,1,125000,4,92,100,1988,bloc de apartamente,P+8E,8,8,1,2,,,2
9103,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,129500,2,57,68,2019,bloc de apartamente,P+10E,1,10,1,1,,,1
9105,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,32900,1,33,40,2021,bloc de apartamente,P+5E,1,5,1,1,,,1
9106,"Bucuresti, Sector 6, zona Gorjului",Gorjului,agency,apartament,decomandat,1,68000,2,61,75,1982,bloc de apartamente,S+P+8E,Parter,8,1,1,,,1
9107,"Bucuresti, zona Berceni",Berceni,agency,apartament,decomandat,1,90000,4,90,95,1987,bloc de apartamente,,9,,,2,,,1
9108,"Bucuresti, Sector 5, zona Libertatii",Libertatii,agency,apartament,decomandat,1,123000,2,65,89,1994,bloc de apartamente,P+8E,8,8,1,1,,,2
9109,"Bucuresti, Sector 1, zona Bucurestii Noi",Bucurestii Noi,agency,apartament,decomandat,lux,82650,3,67,77,2021,bloc de apartamente,P+6E,6,6,1,2,,,1
9110,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,76500,1,43,58,2020,bloc de apartamente,S+P+11E,6,11,1,1,,,1
9111,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,decomandat,lux,127000,3,78,93,2016,bloc de apartamente,P+5E,5,5,1,2,,,1
9112,"Bucuresti, Sector 1, zona Iancu Nicolae",Iancu Nicolae,agency,apartament,decomandat,lux,155000,3,95,117,2010,bloc de apartamente,P+5E,Parter,5,1,2,,1,
9113,"Bucuresti, zona Universitate",Universitate,agency,apartament,semidecomandat,1,169000,3,95,105,1940,casa/vila,P+3E,2,3,1,2,,,1
9114,"Bucuresti, Sector 6, zona Grozavesti",Grozavesti,agency,apartament,decomandat,1,95500,2,73,87,2020,bloc de apartamente,S+P+11E,8,11,1,1,,,1
9115,"Bucuresti, zona Central",Central,agency,apartament,nedecomandat,3,219000,8,200,250,1935,casa/vila,P+1E+M,Parter,1,1,2,,,
9116,"Bucuresti, zona Polona",Polona,prepay,apartament,decomandat,lux,222500,4,105,,2020,bloc de apartamente,P+4E,3,4,,3,,,
9117,"Bucuresti, zona Dristor",Dristor,agency,apartament,semidecomandat,1,105900,3,70,80,1987,bloc de apartamente,P+10E,1,10,1,2,,,
9118,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,78500,1,43,58,2020,bloc de apartamente,S+P+11E,8,11,1,1,,,1
9119,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,semidecomandat,1,82000,2,56,64,2021,bloc de apartamente,P+11E,9,11,1,1,,,1
9120,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,91450,3,81,96,2020,bloc de apartamente,D+P+5E,1,5,1,2,,,1
9121,"Bucuresti, zona Dristor",Dristor,agency,apartament,semidecomandat,1,139000,4,85,85,1984,bloc de apartamente,P+8E,6,8,1,2,,,
9122,"Bucuresti, Sector 1, zona Dorobanti",Dorobanti,agency,apartament,decomandat,1,290000,3,140,170,2006,bloc de apartamente,D+P+3E,1,3,1,2,1,1,3
9123,"Bucuresti, Sector 6, zona Uverturii",Uverturii,agency,apartament,decomandat,1,70500,2,69,78,2020,bloc de apartamente,P+5E,Parter,5,1,1,,,1
9124,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,semidecomandat,1,75100,2,58,,2011,bloc de apartamente,P+8E,5,8,1,1,,,1
9126,"Bucuresti, zona Drumul Taberei",Drumul Taberei,prepay,apartament,decomandat,1,64500,2,55,,1984,bloc de apartamente,P+10E,5,10,,,,,
9127,"Bucuresti, zona Iancu Nicolae",Iancu Nicolae,agency,apartament,decomandat,lux,335000,5,184,250,2007,bloc de apartamente,S+P+3E,3,3,1,3,2,2,1
9129,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,121000,2,51,76,2020,bloc de apartamente,S+P+10E,4,10,1,2,,,1
9201,"Bucuresti, zona Mihai Bravu",Mihai Bravu,agency,apartament,semidecomandat,1,74500,3,63,68,1963,bloc de apartamente,S+P+9E,8,9,,1,,,1
9202,"Bucuresti, zona Bucurestii Noi",Bucurestii Noi,agency,apartament,semidecomandat,1,80500,3,66,83,2020,bloc de apartamente,P+5E,1,5,1,2,1,1,
9203,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,decomandat,1,84000,2,59,66,2020,bloc de apartamente,P+11E,1,11,1,1,,,1
9204,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,circular,1,57000,2,50,55,1972,bloc de apartamente,P+10E,5,10,1,1,,,1
9205,"Bucuresti, zona Iancu Nicolae",Iancu Nicolae,agency,apartament,semidecomandat,lux,180000,2,75,93,2009,bloc de apartamente,P+2E,Parter,2,1,1,1,1,
9206,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,1,129500,3,172,180,2017,bloc de apartamente,P+3E,3,3,1,2,,,2
9207,"Bucuresti, Sector 3, zona Nicolae Grigorescu",Nicolae Grigorescu,agency,apartament,decomandat,1,63700,2,49,59,2020,bloc de apartamente,P+3E,3,3,1,1,,,1
9208,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,1,76190,2,73,85,2020,bloc de apartamente,S+P+3E,2,3,1,1,,,1
9209,"Bucuresti, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,1,67500,2,52,65,1974,bloc de apartamente,P+10E,2,10,1,1,,,1
9210,"Bucuresti, zona Giulesti",Giulesti,agency,apartament,semidecomandat,1,57048,2,57,65,2020,bloc de apartamente,P+5E,1,5,1,1,,,1
9212,"Bucuresti, Sector 6, zona Lujerului",Lujerului,agency,apartament,decomandat,1,49500,2,45,50,1976,bloc de apartamente,P+10E,1,10,1,1,,,1
9213,"Bucuresti, Sector 4, zona Cantemir",Cantemir,agency,apartament,decomandat,1,155000,3,105,115,2020,bloc de apartamente,S+P+6E,1,6,1,2,,,1
9214,"Bucuresti, Sector 6, zona Timisoara",Timisoara,agency,apartament,decomandat,lux,95000,3,99,119,2020,bloc de apartamente,D+P+6E,1,6,1,2,,,2
9215,"Bucuresti, Sector 6, zona Prelungirea Ghencea",Prelungirea Ghencea,agency,apartament,decomandat,lux,65238,3,75,85,2019,bloc de apartamente,P+5E,4,5,1,2,,1,1
9216,"Bucuresti, Sector 2, zona Fundeni",Fundeni,agency,apartament,decomandat,lux,70860,3,78,91,2021,bloc de apartamente,D+P+7E,1,7,1,2,,,1
9217,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,52900,2,64,74,2020,bloc de apartamente,P+8E,3,8,1,1,,1,1
9219,"Bucuresti, Sector 2, zona Fundeni",Fundeni,agency,apartament,decomandat,lux,53525,2,55,65,2021,bloc de apartamente,D+P+7E,2,7,1,1,,,1
9220,"Bucuresti, Sector 6, zona Timisoara",Timisoara,agency,apartament,semidecomandat,lux,57000,2,55,67,2020,bloc de apartamente,D+P+6E,1,6,1,1,,,1
9221,"Bucuresti, zona Grozavesti",Grozavesti,agency,apartament,decomandat,lux,210000,3,105,135,2009,bloc de apartamente,P+11E,10,11,1,2,,1,1
9222,"Bucuresti, Sector 3, zona 1 Decembrie 1918",1 Decembrie 1918,agency,apartament,semidecomandat,1,77300,3,65,66,1976,bloc de apartamente,P+4E,3,4,1,1,,,1
9223,"Bucuresti, zona P-ta Muncii",P-ta Muncii,agency,apartament,semidecomandat,1,89900,3,74,74,1979,bloc de apartamente,P+10E,9,10,1,2,,1,2
9224,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,semidecomandat,1,102000,3,78,88,2021,bloc de apartamente,P+11E,11,11,1,2,,,1
9225,"Bucuresti, Sector 1, zona Bucurestii Noi",Bucurestii Noi,prepay,apartament,semidecomandat,1,158000,4,138,,2009,casa/vila,P+2E,2,2,,2,,,
9227,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,lux,80811,2,63,76,2019,bloc de apartamente,P+5E,2,5,1,1,,1,
9228,"Bucuresti, zona Titulescu",Titulescu,agency,apartament,decomandat,lux,508200,3,205,437,2019,bloc de apartamente,P+8E,8,8,2,3,,,1
9229,"Bucuresti, Sector 1, zona Cismigiu",Cismigiu,agency,apartament,decomandat,1,172018,2,59,124,2022,bloc de apartamente,S+P+10E,4,10,1,1,,1,2
9230,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,60000,2,54,58,1978,bloc de apartamente,P+4E,4,4,1,1,,,
9301,"Bucuresti, Sector 3, zona Dristor",Dristor,agency,apartament,semidecomandat,2,41500,1,25,25,1980,bloc de apartamente,S+P+8E,4,8,1,1,,,1
9302,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,1,75000,4,80,83,1970,bloc de apartamente,P+4E,4,4,1,1,,,1
9303,"Bucuresti, Sector 2, zona P-ta Muncii",P-ta Muncii,agency,apartament,decomandat,lux,146000,3,81,95,2020,bloc de apartamente,S+P+6E,1,6,1,2,,,1
9304,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,decomandat,1,84000,2,60,67,2021,bloc de apartamente,P+11E,11,11,1,1,,,1
9305,"Bucuresti, Sector 5, zona Alexandriei",Alexandriei,agency,apartament,semidecomandat,lux,49000,2,53,80,2017,bloc de apartamente,P+4E,3,4,1,1,,,1
9306,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,decomandat,lux,139000,3,100,135,2020,bloc de apartamente,S+P+7E,3,7,1,2,,,1
9307,"Bucuresti, Sector 6, zona Crangasi",Crangasi,agency,apartament,,1,44900,2,77,,2019,bloc de apartamente,D+P+5E,Demisol,5,1,1,,,1
9308,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,91450,3,81,96,2020,bloc de apartamente,D+P+5E,2,5,1,2,,,1
9309,"Bucuresti, zona Titan",Titan,agency,apartament,decomandat,1,62800,2,57,61,2018,bloc de apartamente,P+5E,3,5,1,1,,,1
9310,"Bucuresti, Sector 1, zona Calea Victoriei",Calea Victoriei,agency,apartament,semidecomandat,1,89000,2,40,42,1984,bloc de apartamente,P+8E,6,8,1,1,,,1
9311,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,lux,48000,2,65,75,2020,bloc de apartamente,S+P+6E,5,6,1,1,,,1
9313,"Bucuresti, zona Colentina",Colentina,agency,apartament,semidecomandat,1,66500,2,53,65,2020,bloc de apartamente,P+4E,Parter,4,1,1,,,
9314,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,86000,2,71,84,2010,bloc de apartamente,S+P+4E,Parter,4,1,1,,,1
9315,"Bucuresti, zona Salajan",Salajan,agency,apartament,decomandat,1,82300,3,59,,2020,bloc de apartamente,,1,,1,2,,,
9316,"Bucuresti, zona Drumul Taberei",Drumul Taberei,agency,apartament,semidecomandat,1,80000,4,80,88,1962,bloc de apartamente,P+4E,1,4,1,2,,,1
9317,"Bucuresti, Sector 1, zona 1 Mai",1 Mai,agency,apartament,semidecomandat,1,159900,4,96,105,1981,bloc de apartamente,P+10E,6,10,1,2,,,1
9318,"Bucuresti, zona Universitate",Universitate,agency,apartament,,1,115000,2,42,42,1945,bloc de apartamente,P+2E,1,2,1,1,,,
9319,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,decomandat,1,139000,3,73,90,2020,bloc de apartamente,S+P+5E,1,5,1,2,,,1
9320,"Bucuresti, Sector 2, zona Iancului",Iancului,agency,apartament,semidecomandat,1,67000,3,54,61,1980,bloc de apartamente,S+P+10E,1,10,1,1,,,1
9321,"Bucuresti, Sector 2, zona Muncii",Muncii,agency,apartament,decomandat,1,145500,3,79,110,2020,bloc de apartamente,S+P+3E,2,3,1,2,,,2
9322,"Bucuresti, Sector 3, zona Campia Libertatii",Campia Libertatii,agency,apartament,semidecomandat,1,64900,2,50,60,1965,bloc de apartamente,P+9E,3,9,1,1,,,1
9323,"Bucuresti, Sector 2, zona Mosilor",Mosilor,agency,apartament,semidecomandat,1,105000,3,73,90,1981,bloc de apartamente,S+P,3,,1,2,,,2
9324,"Bucuresti, zona 13 Septembrie",13 Septembrie,agency,apartament,decomandat,1,110000,4,92,97,2001,bloc de apartamente,P+11E,10,11,1,2,,1,2
9325,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,lux,81311,2,64,80,2019,bloc de apartamente,P+5E,4,5,1,1,,1,2
9326,"Bucuresti, Sector 3, zona Nicolae Grigorescu",Nicolae Grigorescu,agency,apartament,semidecomandat,1,87500,4,80,88,1984,bloc de apartamente,S+P+8E,8,8,1,2,,,2
9327,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,lux,54000,2,56,67,2020,bloc de apartamente,D+P+6E,1,6,1,1,,,
9328,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,semidecomandat,1,92985,3,71,93,2018,bloc de apartamente,P+4E,4,4,1,2,,1,1
9329,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,148000,3,85,104,2020,bloc de apartamente,S+P+11E,2,11,1,2,,,2
9330,"Bucuresti, zona Bucurestii Noi",Bucurestii Noi,agency,apartament,semidecomandat,1,70000,2,48,48,2013,bloc de apartamente,P+3E,2,3,1,1,,,1
9401,"Bucuresti, Sector 2, zona Stefan cel Mare",Stefan cel Mare,agency,apartament,semidecomandat,1,88000,3,57,66,1962,bloc de apartamente,S+P+4E,4,4,1,1,,,1
9402,"Bucuresti, zona Drumul Taberei",Drumul Taberei,agency,apartament,circular,1,51000,2,50,55,1975,bloc de apartamente,P+10E,9,10,1,1,,,1
9403,"Bucuresti, Sector 1, zona Domenii",Domenii,agency,apartament,decomandat,lux,159035,3,72,98,2021,bloc de apartamente,S+P+12E,4,12,1,2,,,1
9404,"Bucuresti, Sector 3, zona Nicolae Grigorescu",Nicolae Grigorescu,agency,apartament,decomandat,1,84950,2,70,107,2020,bloc de apartamente,P+2E+M,Parter,2,1,1,,1,1
9405,"Bucuresti, zona Tineretului",Tineretului,prepay,apartament,decomandat,1,147000,3,70,,1984,bloc de apartamente,P+8E,7,8,,2,,,
9406,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,1,56000,1,42,50,1991,bloc de apartamente,S+P+8E,5,8,1,1,,,1
9407,"Bucuresti, Sector 2, zona Fundeni",Fundeni,agency,apartament,decomandat,lux,89430,4,106,126,2020,bloc de apartamente,D+P+7E,1,7,1,2,,,2
9408,"Bucuresti, zona Dristor",Dristor,agency,apartament,decomandat,1,135000,3,68,75,1985,bloc de apartamente,P+8E,3,8,1,2,,,1
9409,"Bucuresti, zona Barbu Vacarescu",Barbu Vacarescu,agency,apartament,decomandat,1,112990,2,50,62,2019,bloc de apartamente,P+10E,8,10,1,2,,,1
9410,"Bucuresti, zona Teiul Doamnei",Teiul Doamnei,agency,apartament,decomandat,1,66000,2,51,60,1981,bloc de apartamente,P+10E,Parter,10,1,1,,,
9411,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,65000,2,63,73,2020,bloc de apartamente,S+P+6E,5,6,1,1,,,2
9412,"Bucuresti, zona Sebastian",Sebastian,agency,apartament,decomandat,1,95000,3,75,84,1988,bloc de apartamente,P+8E,5,8,1,2,,,2
9413,"Bucuresti, Sector 3, zona Titan",Titan,agency,apartament,decomandat,1,60000,2,50,50,1967,bloc de apartamente,S+P+4E,2,4,1,1,,,
9414,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,195000,3,73,150,2013,bloc de apartamente,P+5E,Parter,5,1,2,,,
9415,"Bucuresti, Sector 2, zona Obor",Obor,agency,apartament,semidecomandat,1,60000,3,61,66,1984,bloc de apartamente,D+P+10E,8,10,1,1,,,1
9416,"Bucuresti, Sector 4, zona Brancoveanu",Brancoveanu,agency,apartament,decomandat,1,54800,1,42,50,1992,bloc de apartamente,P+8E,6,8,1,1,,,1
9417,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,lux,145000,2,67,80,2019,bloc de apartamente,P+3E,Parter,3,1,1,,,
9418,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,lux,83214,2,65,73,2019,bloc de apartamente,P+5E,3,5,1,1,,1,1
9419,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,44000,1,42,47,2020,bloc de apartamente,P+4E,2,4,1,1,,,1
9420,"Bucuresti, zona Calea Calarasilor",Calea Calarasilor,agency,apartament,decomandat,1,100000,2,53,58,2015,bloc de apartamente,P+9E,Parter,9,1,1,,,
9421,"Bucuresti, zona Dristor",Dristor,agency,apartament,decomandat,1,110000,3,75,75,1972,bloc de apartamente,P+4E,2,4,1,1,,,
9422,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,82500,1,45,60,2020,bloc de apartamente,S+P+11E,9,11,1,1,,,1
9423,"Bucuresti, Sector 6, zona Lujerului",Lujerului,agency,apartament,decomandat,1,74000,2,75,83,1976,bloc de apartamente,P+12E,9,12,1,1,,,2
9424,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,95000,2,55,75,2019,bloc de apartamente,S+P+11E,2,11,1,1,,,1
9425,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,lux,83282,2,65,76,2019,bloc de apartamente,P+5E,4,5,1,1,,1,2
9426,"Bucuresti, zona Parcul Carol",Parcul Carol,agency,apartament,decomandat,lux,234500,3,71,94,2018,bloc de apartamente,P+4E,1,4,1,2,,1,1
9427,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,395500,3,98,120,2022,bloc de apartamente,S+P+6E,2,6,1,2,,,
9428,"Bucuresti, zona Giurgiului",Giurgiului,prepay,apartament,decomandat,1,52000,2,54,,,,P+3E,2,3,,,,,
9429,"Bucuresti, zona Unirii",Unirii,agency,apartament,decomandat,1,130000,2,63,71,1996,bloc de apartamente,P+8E,3,8,1,1,,,3
9430,"Bucuresti, zona Sebastian",Sebastian,agency,apartament,decomandat,1,82000,3,70,75,1986,bloc de apartamente,P+8E,4,8,,2,,,1
9501,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,lux,52100,2,66,73,2020,bloc de apartamente,D+P+5E,1,5,1,1,,1,1
9502,"Bucuresti, Sector 2, zona Colentina",Colentina,agency,apartament,semidecomandat,1,59800,2,53,65,1980,bloc de apartamente,S+P+8E,5,8,1,1,,,1
9503,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,57000,2,55,,2019,bloc de apartamente,D+P+10E,6,10,1,1,,,1
9504,"Bucuresti, Sector 6, zona Virtutii",Virtutii,agency,apartament,decomandat,1,86000,2,61,73,2021,bloc de apartamente,S+P+11E,2,11,1,1,,,1
9505,"Bucuresti, zona Iancu Nicolae",Iancu Nicolae,agency,apartament,decomandat,lux,165000,3,84,96,2019,bloc de apartamente,P+5E,1,5,,2,,1,
9506,"Bucuresti, Sector 2, zona Stefan cel Mare",Stefan cel Mare,agency,apartament,semidecomandat,1,119000,3,70,75,1983,bloc de apartamente,P+8E,5,8,1,2,,1,1
9507,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,72500,1,43,58,,bloc de apartamente,S+P+8E,1,8,1,1,,,1
9508,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,semidecomandat,1,60573,2,65,73,2021,bloc de apartamente,S+P+6E,2,6,1,1,,,1
9509,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,1,394000,4,134,155,2020,bloc de apartamente,S+P+12E,4,12,1,3,,,1
9510,"Bucuresti, Sector 4, zona Parcul Carol",Parcul Carol,agency,apartament,decomandat,1,390000,4,200,220,2010,bloc de apartamente,S+P+5E,4,5,1,3,,,2
9511,"Bucuresti, Sector 6, zona Gorjului",Gorjului,agency,apartament,decomandat,1,69000,2,50,63,1984,bloc de apartamente,P+4E,3,4,1,1,,1,1
9512,"Bucuresti, Sector 6, zona Gorjului",Gorjului,agency,apartament,semidecomandat,,47000,2,31,42,1979,bloc de apartamente,P+4E,1,4,1,1,,,
9513,"Bucuresti, zona Rahova",Rahova,prepay,apartament,semidecomandat,1,25000,1,32,,2020,bloc de apartamente,P+4E,1,4,,,,,
9514,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,lux,78604,2,61,77,2017,bloc de apartamente,P+5E,1,5,1,1,,1,1
9515,"Bucuresti, Sector 3, zona Decebal",Decebal,agency,apartament,decomandat,1,100000,2,53,72,2019,bloc de apartamente,P+5E+M,4,5,1,1,,,1
9516,"Bucuresti, Sector 4, zona Berceni",Berceni,agency,apartament,decomandat,1,50500,2,55,75,2020,bloc de apartamente,P+6E,1,6,1,1,10,10,1
9517,"Bucuresti, zona Sisesti",Sisesti,agency,apartament,decomandat,lux,150000,4,114,140,2020,bloc de apartamente,P+10E,4,10,1,2,2,,1
9518,"Bucuresti, zona 13 Septembrie",13 Septembrie,agency,apartament,semidecomandat,1,118000,3,70,100,2020,bloc de apartamente,P+9E,2,9,,2,,,3
9519,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,decomandat,lux,185000,3,90,110,2017,bloc de apartamente,P+6E,3,6,1,2,2,,2
9520,"Bucuresti, Sector 3, zona Theodor Pallady",Theodor Pallady,agency,apartament,decomandat,1,69400,2,57,60,2020,bloc de apartamente,P+3E+M,Mansarda,3,1,1,,,1
9521,"Bucuresti, Sector 1, zona Plevnei",Plevnei,agency,apartament,semidecomandat,1,156950,3,64,89,2022,bloc de apartamente,S+P+10E,3,10,1,2,,1,2
9522,"Bucuresti, Sector 2, zona Colentina",Colentina,agency,apartament,decomandat,lux,70860,3,78,91,2021,bloc de apartamente,D+P+7E,3,7,1,2,,,1
